搜索	app,epg,tvchannel,website,radio,music,stock,cookbook,map
搜一下	app.tvchannel,website,radio,music,stock,cookbook,map
找一下	app.tvchannel,website,radio,music,stock,cookbook,map
查一下	epg,app,bus,flight,train,stock,cookbook,map
查询	epg,app,bus,flight,train,stock,cookbook,map
下载	app,music,video
结束	app,tvchannel,radio
打开	app,tvchannel,website,radio
开启	app,tvchannel,website,radio
启动	app
关闭	app,tvchannel,radio
坐车	bus
的车	bus
汽车	bus
加上	calc
减去	calc
乘以	calc
除以	calc
的和	calc
的差	calc
的商	calc
的积	calc
的立方根	calc
平方	calc
次方	calc
根下	calc
影片	cinemas,epg,video
大片	cinemas,epg,video
片子	cinemas,epg,video
添加	contacts
新建	contacts
新增	contacts
查询	contacts,flight,train,bus,map
查找	contacts
配方	cookbook
怎么烧	cookbook
如何烧	cookbook
煮	cookbook
炒	cookbook
蒸	cookbook
炸	cookbook
焗	cookbook
调料	cookbook
材料	cookbook
食材	cookbook
比较好吃	cookbook
怎样弄	cookbook
怎么弄	cookbook
做法	cookbook
怎么做	cookbook
怎样做	cookbook
哪一天	datetime
几天	datetime
多少天	datetime
哪天	datetime,epg
多少天	datetime
还有多久	datetime
几号	datetime,epg
几点	datetime,epg
几月几号	datetime,epg
什么时候	datetime,epg
演什么	epg
放什么	epg
什么时候播	epg
什么时候结束	epg
什么时候开始	epg
什么时候演	epg
哪个电视台	epg
哪些电视台	epg
哪个台	epg
怎么办	health
怎么处理	health
怎样办	health
怎么走	map
怎样走	map
怎么去	map
怎样去	map
什么地方	map
什么位置	map
位置在哪	map
在哪	map
哪些台	epg
农历	datetime
邮件	email
mail	email
电邮	email
email	email
节目	epg
直播	epg,video
回放	epg,tvchannel
航班	flight
机票	flight
飞机	flight
治疗	health
导航	map
路线	map
位置	map
带我去	map
短信	message
信息	message
消息	message
播放	music,tvchannel,video,cinemas,news
歌曲	music
一首	music
点播	music,video
要听	music,radio,poetry,news
想听	music,radio,poetry,news
这首歌	music
来一首	music,poetry
来首	music,poetry
新闻	news
小说	novel
下一句	poetry
上一句	poetry
下面一句	poetry
上面一句	poetry
念首	poetry
诗	poetry
宋词	poetry
读首	poetry
念一首	poetry
读一首	poetry
背一首	poetry
背首	poetry
朗读	poetry,news
背诵	poetry
读首	poetry
念首	poetry
调频	radio
调幅	radio
fm	radio
收听	radio
闹钟	schedule
闹铃	schedule
待办	schedule
市值	stock
股价	stock
股份	stock
收盘	stock
股市	stock
行情	stock
成交价	stock
涨了	stock
跌了	stock
火车	train
高铁	train
动车	train
天气	weather
网站	website
上网	website
转播	tvchannel,epg
高清	tvchannel,video,epg
电影	video,cinemas
上映	cinemas
想看	novel,video,tvchannel